sample_,class,dilution,order,batch,id
20210607_005,process blank,1.0,617,17,20210607_005
20210607_019,QC,1.0,624,17,20210607_019
20210607_021,QC,1.0,625,17,20210607_021
20210607_023,QC,1.0,626,17,20210607_023
20210607_025,cancer,1.0,627,17,20210607_025
20210607_027,cancer,1.0,628,17,20210607_027
20210607_029,healthy,1.0,629,17,20210607_029
20210607_031,healthy,1.0,630,17,20210607_031
20210607_033,healthy,1.0,631,17,20210607_033
20210607_035,QC,1.0,632,17,20210607_035
20210607_037,cancer,1.0,633,17,20210607_037
20210607_039,healthy,1.0,634,17,20210607_039
20210607_041,cancer,1.0,635,17,20210607_041
20210607_043,healthy,1.0,636,17,20210607_043
20210607_045,healthy,1.0,637,17,20210607_045
20210607_047,QC,1.0,638,17,20210607_047
20210607_049,benign,1.0,639,17,20210607_049
20210607_051,healthy,1.0,640,17,20210607_051
20210607_053,healthy,1.0,641,17,20210607_053
20210607_055,benign,1.0,642,17,20210607_055
20210607_057,post-surgery,1.0,643,17,20210607_057
20210607_059,QC,1.0,644,17,20210607_059
20210607_061,benign,1.0,645,17,20210607_061
20210607_063,cancer,1.0,646,17,20210607_063
20210607_065,cancer,1.0,647,17,20210607_065
20210607_067,cancer,1.0,648,17,20210607_067
20210607_069,SRM,1.0,649,17,20210607_069
20210607_071,QC,1.0,650,17,20210607_071
20210607_073,QC,1.0,651,17,20210607_073
20210607_075,process blank,1.0,652,17,20210607_075
20210607_077,solvent,1.0,653,17,20210607_077
20210608_003,solvent,1.0,655,18,20210608_003
20210608_005,process blank,1.0,656,18,20210608_005
20210608_019,QC,1.0,663,18,20210608_019
20210608_021,QC,1.0,664,18,20210608_021
20210608_023,QC,1.0,665,18,20210608_023
20210608_025,healthy,1.0,666,18,20210608_025
20210608_027,cancer,1.0,667,18,20210608_027
20210608_029,cancer,1.0,668,18,20210608_029
20210608_031,healthy,1.0,669,18,20210608_031
20210608_033,healthy,1.0,670,18,20210608_033
20210608_035,QC,1.0,671,18,20210608_035
20210608_037,cancer,1.0,672,18,20210608_037
20210608_039,healthy,1.0,673,18,20210608_039
20210608_041,cancer,1.0,674,18,20210608_041
20210608_043,benign,1.0,675,18,20210608_043
20210608_045,benign,1.0,676,18,20210608_045
20210608_047,QC,1.0,677,18,20210608_047
20210608_049,healthy,1.0,678,18,20210608_049
