feature,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-0034,,179.8414606500476,179.84568298250446,179.8373824635212,0.001239616658293738,32.07934064814244,36.182118090726135,33.749122319648365,30.471453866565195,27.972513548348456,0.8200204539460794
FT-0035,,223.84875463090268,223.85349818270979,223.84362656224388,0.0011910919632158014,31.930206823618214,36.30348030381444,33.75308119697786,30.486284397841686,27.8715955977853,0.8166259323544273
FT-0036,,161.84224082291593,161.8470563703379,161.83702088263811,0.0013049368679272989,31.435124825482223,34.12001331648196,33.00243049439945,30.5315047894092,28.034784209490585,0.37256950457607574
FT-0037,,217.85901895315268,217.8626708984375,217.8545806031392,0.0013701155061154177,31.650815061628194,35.39492236758699,33.75811578571351,30.565162136864792,27.98931543977097,0.7093737011083258
FT-0038,,166.83335474450956,166.8378846546816,166.82930260829963,0.0011532951380208852,31.4872115241201,34.00043286719892,32.74406818221337,30.57222878292422,28.03298488393045,0.37300564883030624
FT-0039,,196.810700499714,196.81655335321616,196.80506596884126,0.0021117909582576335,31.551775769650266,35.397699992813536,33.04219312536013,30.606997571041354,27.923766385293053,0.3589838681040694
FT-0040,,221.85164314155497,221.85642328999143,221.8469920761087,0.0012473450178400664,31.786362987021153,35.49742216649863,33.75866954220307,30.74148350653017,27.881873657241737,0.6784512136675722
FT-0041,,181.838483808962,181.8428947887831,181.83377430018584,0.0013363679755755077,31.993876834189297,36.089759166287614,33.69097406469126,30.753414783945836,28.077108353843172,0.7635223629689427
FT-0042,,201.80163951055772,201.80664039994087,201.79628641831346,0.001440401153503818,31.428880923759277,34.88958454507449,32.2896298365474,30.755887664161484,28.04522824099055,0.23709588492847442
FT-0043,,199.80455433015615,199.80916369369282,199.79954612323286,0.001343597210015129,31.406403607904593,34.85376152787068,32.3043898218197,30.757557409382166,27.853622114224613,0.2079930065440264
FT-0044,,164.83581203633017,164.83945466070477,164.83213726879274,0.0009330373522045085,31.515460347051977,33.94925534891501,33.31469114019466,30.758026877808117,27.671739596080222,0.3417876457039427
FT-0045,,219.85460162630505,219.85825454920715,219.84937596186427,0.0012433432303116726,31.764458265433404,35.3251733283475,33.74415576828421,30.774462321928194,27.900672395934272,0.6557900914920721
FT-0046,,160.84150730133373,160.8452983319265,160.83791493236757,0.0008405884975155376,31.533816488440348,33.952429103863196,32.93255795101884,30.778318108434537,27.870314240453485,0.33532184929679204
FT-0047,,193.8148644153823,193.82020662679346,193.8087322131434,0.0018133920897967463,31.497291353621577,35.16096492608364,33.06894907328092,30.786338208788187,27.953589866082382,0.3012427531690119
FT-0048,,334.7922557532463,334.7982912936503,334.7863162348187,0.0024453476112241954,32.57445440463081,38.58111182213856,33.75859779747889,30.80215519595301,27.47081603051568,0.8227459021215234
FT-0049,,195.8105835984925,195.81451305759313,195.80660188454672,0.0012143912152948696,31.41083187807718,34.82536068928536,31.982742385097975,30.806287445656913,27.795962917258166,0.2025600075230898
FT-0050,,198.80773253878363,198.8136049333414,198.80187756513777,0.0019438973411932095,31.59888175839244,35.4785927534104,33.18932196336633,30.81474918819535,27.925466585157597,0.3471766276059336
FT-0051,,197.80762169282232,197.81247959434114,197.8027720298403,0.0012396781496108625,31.408426346186403,34.82733237115684,31.979733156782107,30.815143695602448,27.747309172623027,0.2038364417064814
FT-0052,,144.86961316552689,144.87388212057888,144.86493619336522,0.0015163917602019066,31.79314780484091,35.801232424502054,33.582431160695975,30.862987742727874,28.073883477139315,0.5631587171584277
FT-0053,,180.85855968582771,180.86188784396063,180.8541432601144,0.0014205578009150559,31.75999140550879,34.154045450037884,32.97738441335062,30.936010787303847,28.041984804307535,0.321835773529946
FT-0054,,146.8665437940926,146.8707271832381,146.86258020162057,0.001603319320557348,32.03327525418399,36.509895774188195,33.758570987349394,31.017503786615915,28.15437693087508,0.5296416869310192
FT-0055,,130.88872848085742,130.89324631117097,130.88377166430388,0.0016299867816934896,32.03804091555467,38.35023774041555,33.66451470188253,31.227965562259858,27.811285659432855,0.3760910143812768
FT-0056,,128.8912955745331,128.8979098330684,128.88373513352045,0.002557558085926698,31.945738928059104,37.89285812738038,33.55673304952067,31.31379731060398,27.77186788478349,0.37994254403262634
FT-0057,,173.10376273255818,173.10809943075597,173.099367529144,0.0013714586435914938,32.759624507596705,37.247928574609645,33.72451766724048,31.7923211043552,28.757441431143654,0.5425502875260042
FT-0058,,440.67948567386065,440.68648470787434,440.6751754430383,0.002424164524721378,32.51073024354032,35.08400871021564,33.3257627690862,31.93737692956113,28.128098863183958,0.22144244198603572
FT-0059,,603.589234767835,603.5974028291679,603.5808004186478,0.002983175069453799,33.155749681783014,38.22988688029569,33.74660786762278,31.979333406061514,28.89444592367354,0.379886960191571
FT-0060,,631.5700848433788,631.5782224160404,631.5627664780723,0.002729315833276171,33.14426152281287,38.19409249704886,33.75017351113919,32.00493054184261,28.974105263074936,0.3622802800757148
FT-0062,FT-0636,208.84482048894512,208.84679466479957,208.8420998641181,0.0009341751666080132,32.73038244201917,36.928846379937546,33.699815867003984,32.009625574052684,29.10281597353225,0.5120815783888634
FT-0064,,562.587989633454,562.5944275436225,562.5811257186066,0.0023817922758632456,32.50700377099695,35.071888583545146,33.471723887850395,32.01908146717485,28.020742522441324,0.23118668505234224
FT-0065,,689.5298297201912,689.5407429529591,689.5203205225869,0.0033501533931437955,33.10961626183734,38.30756856214845,33.75140116927149,32.02492291987868,28.916403437988716,0.3799074389557749
FT-0066,,691.5265320358059,691.5370530763184,691.5187324097643,0.003519664115976339,33.090475818493566,38.082183702245175,33.75775893187409,32.028593904393084,28.857683662725865,0.4317296551668417
FT-0068,,661.5483100473838,661.5574960141292,661.5397879097484,0.0030376386832928464,33.213294755615706,38.51943782046744,33.75386068384101,32.03502752777735,28.951561788406117,0.3583275568137881
FT-0069,,669.5348378814831,669.5462659037865,669.5256696310795,0.004012670665578321,33.2701988456438,38.11022188929155,33.7452022682047,32.05305496072261,29.042503436424,0.314060632225089
FT-0070,,601.5924106829249,601.6005389378159,601.5854210675426,0.002755940041725613,33.1181820782364,38.16097880403875,33.75595082374182,32.05350332393289,28.898242823794583,0.39265020642739307
