,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2353,,461.9907009138799,461.9986913574618,461.9836914405155,0.002920336049275,253.06131730830415,259.780507652679,255.670487094243,250.9661568879118,247.86669310799604,0.8806469966207316
FT-2354,,362.99743704826113,363.003063956389,362.98969813088536,0.0021195787306179,252.8629769025346,259.23526724306305,254.9524351659041,250.9720733058596,248.1682951077021,0.7542718963923465
FT-2355,,299.11004577016257,299.1171640795115,299.10305397596045,0.0018963938738051,253.0181250009736,261.22034791689777,255.7179631807977,250.97769808150457,247.54932503201283,0.830820745663604
FT-2357,,318.0351630524225,318.0419374592515,318.02903879878,0.0019017154222057,253.2303735584929,259.62392542542506,256.28437260813774,250.99592123558855,248.25305778438656,0.9103632341894818
FT-2359,,488.1339879195192,488.1418989899368,488.12473005789707,0.0026328726694926,252.44322862399343,257.65618999509326,254.3151061875765,251.00926602428743,248.15754075989295,0.6696485185026776
FT-2360,,490.1445730984153,490.15081228628105,490.136999136098,0.002662637180746,252.484172334171,257.46486593413005,254.479144727372,251.0138225648412,248.14112106424875,0.7207316551281343
FT-2361,,603.0821575320201,603.0891258238197,603.0730498949642,0.0031867917652926,252.4873757329099,257.75869106424364,254.28735158433523,251.02591757850712,248.02201953426777,0.7447171314953327
FT-2362,,330.052932026041,330.06023473012215,330.04380734537307,0.0028738507874236,253.0127119909521,258.70368428749543,254.84394921886428,251.03278577559524,248.33124755631744,0.7563657438590677
FT-2363,,489.1413767721077,489.14950409732273,489.1340474079848,0.0026045386541746,252.4362811828516,258.2349914369135,254.4551276375004,251.0377490157389,247.7691839308884,0.7236108339979404
FT-2366,,506.0118763599922,506.0206889292786,506.00234598226353,0.0030459345806921,253.04251223449185,260.703679758628,255.87674186520903,251.08571024080325,247.74681471064451,0.9001399092655882
FT-2367,,359.9981853037902,360.004478027084,359.9903384542526,0.0024637737838428,252.9189119909779,259.66746292113976,255.31539796008704,251.0896235839136,248.04534835814687,0.7453259946021665
FT-2369,,114.0271223175461,114.03028292838728,114.02402940979998,0.0009253943069695,252.89321190656136,261.2634236339433,255.01665436889127,251.1209088173399,247.5619649144853,0.747466177320786
FT-2370,,332.05064382911274,332.057737466661,332.0433286991004,0.0020023776222875,252.9999055829407,261.65480385785975,255.1972466944893,251.13636172993415,247.43449876892316,0.8035932161556335
FT-2372,,219.1122438211644,219.1167529306041,219.10653672915296,0.001484970389279,252.79015590550105,259.9550576582,255.03988762610464,251.14902882985783,247.8638261429735,0.7533174154223262
FT-2375,,386.0661175519478,386.0756569943265,386.0570712598391,0.0026078371901058,252.96622670727183,259.44773415957883,255.73988120807968,251.21962601444773,248.0404810063906,0.8583954655448252
