,Charge,Chromatographic peak width (min),Highest Mean,Identifications,Isotope Distribution,Lowest Mean,Max Fold Change,Maximum Abundance,Minimum CV%,Neutral mass (Da),mz,rt
12.02_583.2932m/z,1,0.135299999999999,0,0,100 - 22.3,zero,inf,13.527110510298,32.88,,583.293187615546,721.423999999998
12.02_807.5010m/z,1,2.82546666666667,0,0,100 - 37.3,2,inf,1142.79806632295,33.36,,807.500954372157,721.423999999998
12.04_316.2240n,1,1.37045,zero,0,100 - 20.3 - 1.55,1,7.38186793683351,6902.14242262316,4.41,316.224038736977,301.216402233632,722.439
12.06_221.1534m/z,1,0.0845500000000001,zero,0,100 - 15.2,solvent,inf,137.690904141622,519.62,,221.15344496092,723.454000000002
12.06_245.8162m/z,1,1.47191666666667,CRM,0,100 - 17,zero,199.618671339616,378.524404984843,16.42,,245.816163116551,723.454000000002
12.06_362.2445n,1,0.383533333333332,sss,0,100 - 2.58,2,inf,94.1812675312264,68.19,362.24450468523,383.219262131676,723.454000000002
12.06_397.2044m/z,2,0.236783333333333,sss,0,100 - 15.7 - 8.98,2,inf,468.004756851793,29.96,,397.204409677311,723.454000000002
12.06_441.1337m/z,1,0.231316666666666,sss,0,100 - 14.1,2,inf,35.874649626745,58.81,,441.133707974689,723.454000000002
12.09_285.2445m/z,1,0.315883333333334,zero,0,100 - 3.09,ltrs,125.296127215834,350.42714913293,4.89,,285.244506807217,725.4829999999979
12.09_437.3259m/z,1,0.687966666666666,0,0,100 - 20.4 - 7.4,solvent,inf,334.881458569272,8.58,,437.325928468276,725.4829999999979
12.09_537.3785n,1,0.248216666666666,prostatitis,0,100 - 28.7 - 1.24,ltrs,inf,148.415151289738,65.33,537.378513885505,596.392181309796,725.4829999999979
12.09_654.3073m/z,1,0.231316666666666,prostatitis,0,100 - 38 - 3.67,zero,inf,89.4454233043908,75.72,,654.307327522334,725.4829999999979
12.11_116.9471m/z,1,0.422833333333333,QC,0,100 - 12.3 - 3.64 - 0.0981,ltrs,1576.58425320287,962.529635515358,21.25,,116.947144531232,726.498
12.11_160.9618m/z,1,0.422833333333333,QC,0,100 - 12,ltrs,inf,55.9779956756104,194.57,,160.961842985286,726.498
12.11_327.2526m/z,1,0.783966666666666,zero,0,100 - 17.1,2,inf,698.105087683728,67.79,,327.252633944031,726.498
12.11_537.2510m/z,1,0.383533333333332,0,0,100 - 23.5,zero,inf,20.8311669935495,42.58,,537.250968777709,726.498
12.11_565.2814m/z,1,0.332783333333333,0,0,100 - 24.1 - 11.8,zero,inf,52.2545514285201,33.97,,565.281377604426,726.498
12.11_754.2320m/z,1,0.163666666666666,prostatitis,0,100 - 39.1 - 4.07,zero,inf,12.2372545397862,155.27,,754.231976854023,726.498
12.11_99.9409m/z,1,0.422833333333333,QC,0,100 - 11 - 1.2,0,inf,173.423167679084,10.56,,99.9409012812291,726.498
12.13_116.9083m/z,1,0.0338333333333338,control,0,100 - 11.8,zero,inf,5.5636807505121,830.66,,116.908308123285,727.5130000000021
12.13_216.8903m/z,1,0.456666666666667,16,0,100 - 60.8,0,inf,260.661541072712,8.75,,216.89033722733,727.5130000000021
12.13_227.2392m/z,1,0.405916666666666,QC,0,100 - 15.7,ltrs,inf,27.794370526987,204.72,,227.239228711482,727.5130000000021
12.13_462.9354m/z,1,0.197483333333334,zero,0,100 - 8.02,calibration,inf,379.211699662196,10.39,,462.935448585028,727.5130000000021
12.13_464.9320m/z,1,0.265149999999998,zero,0,100 - 7.57,calibration,inf,241.312422976616,31.03,,464.93196684154,727.5130000000021
12.13_667.4409m/z,1,0.112916666666667,zero,0,100 - 13.9,calibration,inf,7.11616225403926,243.3,,667.440854165192,727.5130000000021
12.13_671.4157m/z,1,0.28205,zero,0,100 - 27.4 - 13.9 - 5.07,2,inf,197.565218153727,45.86,,671.415673272509,727.5130000000021
12.13_680.4132m/z,1,0.101483333333332,postcirugia,0,100 - 27.3,zero,inf,11.5280366523575,162.02,,680.413186801236,727.5130000000021
12.13_789.3531m/z,1,0.28205,calibration,0,100 - 53.4 - 16.4,2,inf,446.9814701351,35.44,,789.353128290932,727.5130000000021
12.14_522.9555m/z,1,0.163666666666666,zero,0,100 - 10.2,calibration,inf,209.128639372482,89.72,,522.95545955768,728.527999999998
12.14_524.9513m/z,1,0.129833333333334,zero,0,100,calibration,inf,99.7659176587355,264.58,,524.951276215435,728.527999999998
12.14_738.3286m/z,1,0.146733333333334,postcirugia,0,100 - 34.1,zero,inf,12.8762629173545,194.05,,738.328582957273,728.527999999998
12.17_469.3528m/z,1,0.248233333333333,0,0,100 - 17.1 - 0.642,solvent,inf,77.2335773407915,17.14,,469.352810180033,730.228999999998
12.17_489.3573m/z,1,1.38736666666667,prostatitis,0,100 - 26.8 - 53,16,inf,906.625949674661,12.0,,489.357340724743,730.228999999998
12.17_491.2098m/z,1,0.180566666666667,prostatitis,0,100 - 23.2 - 2.94,solvent,inf,5.56592227456848,39.62,,491.209754587541,730.228999999998
12.17_589.2826m/z,1,0.383533333333334,prostatitis,0,100 - 36 - 48.5 - 5.52,solvent,inf,42.0246573854879,29.36,,589.282615504506,730.228999999998
12.17_683.4373m/z,1,0.0960000000000001,calibration,0,100 - 29,2,inf,2.82202635064865,171.29,,683.437313776456,730.228999999998
12.17_850.5525n,1,4.8048,calibration,0,100 - 45.5 - 17.1 - 3.94 - 0.19,sss,80.0305501050024,97858.5330939842,13.74,850.55245634501,885.548393779825,730.228999999998
12.17_931.5183m/z,1,0.772533333333334,prostatitis,0,100 - 37.7,ltrs,inf,370.414238861876,113.01,,931.518294306996,730.228999999998
12.19_227.2007m/z,1,3.66018333333333,16,0,100 - 15 - 0.694,ltrs,11.673412722663,53833.3222461402,2.66,,227.200706143584,731.244
12.19_309.2025m/z,1,0.214399999999999,16,0,100 - 6.08,ltrs,23.9298863455802,701.110877456233,0.25,,309.202522498228,731.244
12.19_367.1184m/z,1,0.1975,16,0,100 - 12.4,pQC,151.273343667934,180.774337774639,6.87,,367.118421091393,731.244
12.19_403.1625m/z,1,0.315866666666667,zero,0,100 - 8.83,ltrs,28.9359931786466,272.777015382645,14.8,,403.162491175092,731.244
12.19_500.9822m/z,1,0.298966666666667,zero,0,100 - 21.9,2,inf,153.160502303708,67.32,,500.982179309574,731.244
12.19_559.4755m/z,1,0.417366666666666,zero,0,100 - 35.8,solvent,inf,201.711089929457,170.51,,559.475450453026,731.244
12.20_512.4021m/z,1,0.129833333333334,control,0,100,zero,inf,0.830398536452,200.0,,512.402120698609,732.258
12.20_642.0118n,1,0.417349999999999,sss,0,100 - 9.04 - 0.244,2,inf,4328.91169283254,2.25,642.011766557968,641.004341778569,732.258
12.20_678.4344m/z,1,0.180566666666667,postcirugia,0,100 - 29.3 - 42.7,ltrs,inf,19.9561035813534,195.92,,678.434409321232,732.258
12.22_485.3835m/z,1,0.214400000000001,0,0,100 - 23.3,zero,inf,77.6482521054619,13.19,,485.38354457709,733.2730000000021
12.22_585.3088m/z,1,0.146733333333334,0,0,100 - 24.9 - 0.31,solvent,inf,17.964568471079,29.96,,585.308828396878,733.2730000000021
12.24_325.2737m/z,1,0.851616666666667,zero,0,100 - 12.8,ltrs,inf,466.979951327189,30.46,,325.273721224038,734.287999999998
12.24_971.5908m/z,1,0.118383333333334,postcirugia,0,100 - 57.1 - 4.99,solvent,inf,19.663329824217,160.38,,971.590813711147,734.287999999998
12.26_171.1021m/z,1,0.214383333333334,16,0,100 - 1.4,ltrs,25.4575470278535,260.663390597842,4.39,,171.102146051069,735.303
12.26_232.8686m/z,1,3.44576666666667,16,0,100 - 6.32,pQC,24.6053580714863,29611.4828396111,2.48,,232.868564888916,735.303
12.26_393.2987m/z,1,0.315883333333332,zero,0,100 - 10.7 - 0.241,16,inf,184.02325734864,6.47,,393.29869840496,735.303
12.27_451.3416m/z,1,0.400433333333332,0,0,100 - 13.8,solvent,inf,59.5940394384747,21.2,,451.341576367249,736.318000000002
12.27_620.4287m/z,1,0.152216666666668,prostatitis,0,100 - 29,solvent,inf,11.4738724147311,141.41,,620.4287060352,736.318000000002
12.27_678.3436m/z,1,0.152216666666666,postcirugia,0,100 - 34.9,zero,inf,7.01753714438535,154.44,,678.34357155713,736.318000000002
12.29_410.2471n,1,0.332783333333333,sss,0,100 - 12.3 - 1.4,prostatitis,12.6725853990907,913.816375862013,6.63,410.247135551679,469.264856062217,737.3320000000019
12.31_483.3675m/z,1,0.287516666666667,0,0,100 - 16.1,zero,inf,51.2473202622508,21.98,,483.367540870479,738.346999999998
12.31_509.3824m/z,1,0.699399999999999,0,0,100 - 20.5 - 9.6,2,inf,298.630957308345,13.78,,509.382407521675,738.346999999998
12.31_555.0236m/z,1,0.265133333333333,zero,0,100 - 17.4,calibration,inf,485.908895022871,20.29,,555.02363561363,738.346999999998
12.31_609.3081m/z,1,0.620299999999999,0,0,100 - 29 - 8.18,solvent,inf,77.4749750284233,38.28,,609.308076506145,738.346999999998
12.32_299.2583m/z,1,0.3721,postcirugia,0,100 - 18.7 - 1.16,ltrs,29.4652937942907,1204.14420663969,7.88,,299.258341515808,739.362
12.32_412.2848m/z,1,0.18605,postcirugia,0,100 - 23.8 - 0.179,solvent,inf,21.1625292515761,87.79,,412.284798670015,739.362
12.32_418.2015n,1,0.219866666666666,sss,0,100 - 16.8,ltrs,inf,68.0289725424787,93.82,418.201523031941,439.175432095053,739.362
12.34_535.3989m/z,1,0.7387,0,0,100 - 24.2 - 47.2 - 1.04,solvent,inf,353.258033651069,20.19,,535.398894757084,740.377000000002
12.34_635.3242m/z,1,0.434266666666666,0,0,100 - 34.5,zero,inf,59.6411376570516,33.4,,635.324239924564,740.377000000002
12.36_308.7499m/z,1,0.704866666666668,sss,0,100 - 3.35,1,70.2765622330092,640.373743210879,16.53,,308.749862615596,741.391000000002
12.36_327.2339m/z,1,0.118383333333332,postcirugia,0,100 - 16.5 - 0.707,ltrs,inf,569.41372036545,76.73,,327.233863487382,741.391000000002
12.36_431.3154m/z,1,0.287516666666667,prostatitis,0,100 - 19.8,solvent,inf,19.0320337537158,57.33,,431.315447319153,741.391000000002
12.36_655.5236m/z,1,0.704866666666668,sss,0,71.1 - 100,16,inf,370.604761228222,34.09,,655.523606380899,741.391000000002
12.39_669.4572m/z,1,0.637216666666665,pQC,0,100 - 40.9 - 9.14 - 2.15 - 0.193,2,inf,750.164740816092,24.39,,669.457241561327,743.4209999999999
12.39_688.4203m/z,1,0.501916666666666,zero,0,100 - 33.1,2,inf,48.6126812759084,97.17,,688.420304952165,743.4209999999999
12.39_692.4027n,1,0.535749999999998,zero,0,100 - 50.1 - 14.5 - 2.4,2,inf,484.895579900521,26.23,692.402672563597,727.372073863597,743.4209999999999
12.39_785.5056m/z,1,0.287533333333332,postcirugia,0,100 - 48.8,2,inf,203.779825867207,18.88,,785.505584774337,743.4209999999999
12.41_690.4105n,1,0.118383333333334,zero,0,100 - 25.8 - 10.5 - 0.308,calibration,inf,19.6880369654792,218.7,690.410543274912,725.377902498461,744.436000000002
12.42_1033.4584m/z,1,2.02458333333333,prostatitis,0,100 - 56.2,zero,inf,289.129152603365,120.65,,1033.45837935536,745.450999999998
12.42_312.1055n,1,0.152216666666666,solvent,0,100 - 27 - 13.2,cQC,inf,160.624876458524,148.13,312.105468921604,311.098192489604,745.450999999998
